OBJECTID,ALC_Score,BLOS_SCORE,DEST_SCORE,INTER_SCORE,JOBS_SCORE,POP_SCORE,TRANSIT_SCORE,BIKE_SCORE
157163,6.3,2.4,0.4,2,0,0.5,0,1
157164,28.8,1.8,6,11,3,1.5,3.5,2
157165,19.4,1.8,3.6,7,3,1,2,1
157166,35.6,2.4,13.2,10,4,1,2,3
157167,36.8,1.8,6,11,4.5,0.5,5,8
157168,33.5,2.4,3.6,6,4,1.5,5,11
157169,33.9,2.4,6,4,4,1.5,5,11
157170,38.8,2.4,8.4,7,4.5,0.5,5,11
157171,39.8,2.4,8.4,8,4.5,0.5,5,11
157172,42.3,2.4,8.4,8,4.5,3,5,11
157173,43.3,2.4,8.4,9,4.5,3,5,11
157174,39.8,1.8,12,10,4.5,1.5,5,5
157175,51.4,1.2,17.2,15,4.5,1.5,5,7
157176,50.4,1.2,17.2,14,4.5,1.5,5,7
157177,49.4,1.2,17.2,13,4.5,1.5,5,7
157178,49.4,1.2,17.2,12,4.5,1.5,5,7
157179,44.8,1.2,15.6,10,4.5,1.5,5,7
157180,49.4,1.2,19.2,11,4.5,1.5,5,7
157181,40,1.2,6.8,15,4.5,0.5,5,7
157182,40.4,1.8,1.6,15,4.5,2.5,5,10
157183,44.9,1.8,5.6,16,4.5,2,5,10
157184,36.9,1.2,5.2,15,4.5,2,5,4
157185,31.4,1.8,3.6,11,4.5,0.5,5,5
157186,32.4,1.8,3.6,12,4.5,0.5,5,5
157187,33.4,1.8,3.6,13,4.5,0.5,5,5
157188,34.4,1.8,3.6,14,4.5,0.5,5,5
157189,49.7,1.8,12.4,15,5,0.5,5,10
157190,62.8,1.8,22,18,4.5,0.5,5,11
157191,57.6,1.8,18.8,16,4.5,0.5,5,11
157192,47.3,2.4,16.4,12,4.5,2,5,5
157193,52.1,2.4,21.2,12,4.5,2,5,5
157194,53.6,1.8,16.8,16,4.5,0.5,5,9
157195,33.8,1.8,14,14,2,1,0,1
157196,18.5,2.4,3.6,9,2,0.5,0,1
157197,15.9,2.4,2,8,2,0.5,0,1
157198,14.9,2.4,2,7,2,0.5,0,1
157199,13.9,2.4,2,6,2,0.5,0,1
157200,17.9,3,2.4,6,1,1,1.5,3
157201,18.4,3,2.4,6,1,1,2,3
157202,21.4,3,0.4,11,1,1,2,3
157203,17,3,0,8,1,1,2,2
157204,11.4,2.4,0,7,0,1,0,1
157205,11.6,1.2,0.4,8,0,1,0,1
157206,21.099,1.2,8.4,8,1.5,1,0,1
157207,28.3,1.8,6,11,3,1,3.5,2
157208,23.8,1.8,0,12,3,1.5,3.5,2
157209,24.8,1.8,0,13,3,1.5,3.5,2
157210,31.8,1.8,6,14,3,1.5,3.5,2
157211,33.5,1.8,7.2,15,3,1,3.5,2
157212,32.5,1.8,7.2,16,2.5,0.5,3.5,1
157213,28.2,2.4,10.8,8,3,1,2,1
157214,23.9,2.4,8,5,3.5,1,2,2
157215,39.8,2.4,10.4,17,4,1,2,3
157216,34.1,2.4,5.2,5,4,1.5,5,11
157217,41.3,2.4,8.4,7,4.5,3,5,11
157218,34.6,1.2,6.4,13,4.5,0.5,5,4
157219,43.3,1.2,15.6,12,4.5,1,5,4
157220,44.4,1.8,15.6,11,4.5,1.5,5,5
157221,52.4,1.2,17.2,16,4.5,1.5,5,7
157222,51.6,1.2,20.4,12,4.5,1.5,5,7
157223,50.6,1.2,20.4,11,4.5,1.5,5,7
157224,49.2,1.2,18,13,4.5,0.5,5,7
157225,41.2,1.2,10,13,4.5,0.5,5,7
157226,38.8,1.2,5.6,15,4.5,0.5,5,7
157227,46.4,1.8,7.6,15,4.5,2.5,5,10
157228,38.1,1.2,6.4,15,4.5,2,5,4
157229,36.1,1.2,6.4,14,4.5,1,5,4
157230,35.1,1.2,6.4,13,4.5,1,5,4
157231,59.1,1.8,18.8,19,5,0.5,5,9
157232,66.6,1.8,28.8,15,4.5,4.5,5,7
157233,58.4,1.8,21.6,14,4.5,4.5,5,7
157234,48,1.8,21.2,12,4.5,2.5,5,1
157235,47.6,1.8,20.8,14,4.5,0.5,5,1
157236,52.6,1.8,16.8,15,4.5,0.5,5,9
157237,49.5,1.8,17.2,16,4.5,2,5,3
157238,27.9,2.4,10,12,2,0.5,0,1
157239,25.7,2.4,8.8,11,2,0.5,0,1
157240,19.5,2.4,3.6,10,2,0.5,0,1
157241,9.4,2.4,0,3,0.5,1,1.5,1
157242,12.7,1.2,0,8,1.5,1,0,1
157243,12.1,1.2,0.4,7,1.5,1,0,1
157244,16.299,1.8,0,8,1.5,1,2,2
157245,24.3,1.8,0,15,2.5,0.5,3.5,1
157246,24.9,2.4,8,6,3.5,1,2,2
157247,25.9,2.4,8,7,3.5,1,2,2
157248,26.9,2.4,8,8,3.5,1,2,2
157249,38.8,2.4,10.4,16,4,1,2,3
157250,40.5,2.4,15.6,12,4.5,1,2,3
157251,40.5,2.4,15.6,12,4,1.5,2,3
157252,34.9,2.4,6,5,4,1.5,5,11
157253,38.7,2.4,6.8,6,4.5,3,5,11
157254,40.6,1.2,12.4,13,4.5,0.5,5,4
157255,44.7,1.2,18,11,4.5,1,5,4
157256,47.8,1.2,15.6,13,4.5,1.5,5,7
157257,49,1.2,16.8,13,4.5,1.5,5,7
157258,41.4,1.2,9.2,14,4.5,0.5,5,7
157259,42.4,1.2,9.2,15,4.5,0.5,5,7
157260,39.8,1.2,5.6,16,4.5,0.5,5,7
157261,37.4,1.2,3.2,16,4.5,0.5,5,7
157262,44.8,1.2,9.6,17,4.5,0.5,5,7
157263,45,1.8,3.2,17,4.5,2.5,5,11
157264,34.1,1.2,6.4,12,4.5,1,5,4
157265,43.2,1.8,10.4,16,4.5,0.5,5,5
157266,52.3,1.8,14,16,5,0.5,5,10
157267,55.6,1.8,12.8,18,4.5,4.5,5,9
157268,60.699,1.8,20.4,19,5,0.5,5,9
157269,60.699,1.8,20.4,19,5,0.5,5,9
157270,63.4,1.8,21.6,15,4.5,4.5,5,11
157271,61.8,1.8,20,15,4.5,4.5,5,11
157272,56.6,1.8,14.8,15,4.5,4.5,5,11
157273,57.8,1.8,16,15,4.5,4.5,5,11
157274,59.8,1.8,18,15,4.5,4.5,5,11
157275,62.6,1.8,20.8,15,4.5,4.5,5,11
157276,51.5,2.4,21.6,14,4.5,3,5,1
157277,51.699,1.8,20.4,16,4.5,1,5,3
157278,50.8,2.4,20.4,16,4.5,1.5,5,1
157279,46.699,2.4,16.8,16,4.5,1,5,1
157280,45.3,1.2,19.6,13,4.5,1,5,1
157281,43.8,1.2,19.6,12,4.5,0.5,5,1
157282,42.8,1.2,19.6,11,4.5,0.5,5,1
157283,28.9,2.4,10,13,2,0.5,0,1
157284,16,2.4,1.6,5,2,0.5,3.5,1
157285,24.6,2.4,3.2,11,2.5,1,3.5,1
157286,29.9,2.4,8,11,2.5,1.5,3.5,1
157287,28.9,2.4,8,10,2.5,1.5,3.5,1
157288,14.5,3,0,5,1,0.5,2,3
157289,20,3,2,9,1,1,2,2
157290,29.8,1.8,6,12,3,1.5,3.5,2
157291,24.3,2.4,6.4,7,3,1.5,2,2
157292,19.5,2.4,1.6,7,3,1.5,2,2
157293,18.4,1.8,1.6,8,3,1,2,1
157294,18.1,1.8,2.8,7,3,1,1.5,1
157295,20,2.4,1.6,9,3,1,2,1
157296,27,2.4,9.6,8,3,1,2,1
157297,27.9,2.4,8,9,3.5,1,2,2
157298,38,1.8,7.2,11,4.5,0.5,5,8
157299,38,1.8,7.2,11,4,1,5,8
157300,38.5,1.8,7.2,10,4.5,2,5,8
157301,35.7,2.4,6.8,5,4,1.5,5,11
157302,52.2,1.2,18,15,4.5,1.5,5,7
157303,48.2,1.2,18,11,4.5,1.5,5,7
157304,42.2,1.2,10,14,4.5,0.5,5,7
157305,52.4,1.8,11.6,16,4.5,2.5,5,11
157306,48,1.8,9.2,15,4.5,2.5,5,10
157307,37.9,1.2,5.2,16,4.5,2,5,4
157308,30.4,1.8,3.6,10,4.5,0.5,5,5
157309,31,1.8,3.2,11,4.5,0.5,5,5
157310,32,1.8,3.2,12,4.5,0.5,5,5
157311,33,1.8,3.2,13,4.5,0.5,5,5
157312,34,1.8,3.2,14,4.5,0.5,5,5
157313,35,1.8,3.2,15,4.5,0.5,5,5
157314,50.1,1.8,12.8,15,5,0.5,5,10
157315,59.8,1.8,22,15,4.5,0.5,5,11
157316,52.1,2.4,23.2,13,4.5,3,5,1
157317,55.3,2.4,24.4,12,4.5,2,5,5
157318,29.8,1.8,10,14,2,1,0,1
157319,9.9,2.4,0,0,2.5,0.5,3.5,1
157320,9.3,1.8,0,0,2.5,0.5,3.5,1
157321,9,3,0,4,0,1,0,1
157322,11.8,1.8,0,2,0,1,0,7
157323,4,0,0,2,0,1,0,1
157324,27.3,1.8,6,10,3,1,3.5,2
157325,27.3,1.8,0,16,3,1,3.5,2
157326,34.5,1.8,7.2,16,3,1,3.5,2
157327,23.3,2.4,6.4,6,3,1.5,2,2
157328,19.6,1.8,4.8,6,3.5,1,1.5,1
157329,29.7,2.4,10.8,9,3.5,1,2,1
157330,29.9,2.4,8,11,3.5,1,2,2
157331,43,2.4,15.6,15,4,1,2,3
157332,30.8,1.8,0,11,4.5,0.5,5,8
157333,30.8,1.8,0,11,4,1,5,8
157334,37,1.8,7.2,10,4.5,0.5,5,8
157335,37.3,1.8,6,10,4.5,2,5,8
157336,35.1,1.2,6.4,12,4.5,2,5,4
157337,41.1,1.2,14.4,11,4.5,1,5,4
157338,40.4,1.8,13.6,9,4.5,1.5,5,5
157339,55,1.8,13.2,17,4.5,2.5,5,11
157340,50.4,1.8,11.6,15,4.5,2.5,5,10
157341,46.9,1.8,7.6,16,4.5,2,5,10
157342,32.4,1.8,5.6,10,4.5,0.5,5,5
157343,39.8,1.8,8,15,4.5,0.5,5,5
157344,39.7,1.8,10.4,16,5,0.5,5,1
157345,62.6,1.8,18.8,19,4.5,4.5,5,9
157346,64.199,1.8,20.4,19,4.5,4.5,5,9
157347,62.199,1.8,20.4,19,4.5,0.5,5,11
157348,62.4,1.8,21.6,15,4.5,3.5,5,11
157349,48.9,2.4,18,12,4.5,2,5,5
157350,45,1.8,17.2,13,4.5,2.5,5,1
157351,49.3,2.4,20.4,15,4.5,1,5,1
157352,19.7,1.2,12,5,0,0.5,0,1
157353,16,3,0,5,2,1,2,3
157354,15.4,3,2.4,5,1,1,0,3
157355,13.5,3,8,1,0,0.5,0,1
157356,12.8,1.8,0,3,0,1,0,7
157357,19.599,1.2,8.4,8,0,1,0,1
157358,22.8,2.4,6.4,7,2,1,2,2
157359,18.5,2.4,1.6,6,3,1.5,2,2
157360,19.7,2.4,2.8,6,3,1.5,2,2
157361,20.7,2.4,2.8,8,3.5,1,2,1
157362,35.2,2.4,8.8,15,4,1,2,2
157363,38.5,1.8,7.2,10,4.5,2,5,8
157364,35.1,1.2,8.4,10,4.5,2,5,4
157365,38.8,1.2,9.6,14,4.5,0.5,5,4
157366,41.7,1.2,14,12,4.5,1,5,4
157367,40.9,1.2,13.2,12,4.5,1,5,4
157368,44.4,1.8,15.6,11,4.5,1.5,5,5
157369,44.8,1.2,11.6,15,4.5,0.5,5,7
157370,47.5,1.8,9.2,15,4.5,2,5,10
157371,46.5,1.8,7.2,16,4.5,2,5,10
157372,49.2,1.8,12.4,15,4.5,0.5,5,10
157373,51.3,1.8,14,15,5,0.5,5,10
157374,55.8,1.8,14,17,4.5,4.5,5,9
157375,62.5,1.8,19.2,17,4.5,4,5,11
157376,50.1,2.4,19.2,12,4.5,2,5,5
157377,54,1.8,17.2,16,4.5,0.5,5,9
157378,49.9,1.8,17.6,16,4.5,2,5,3
157379,47.5,2.4,17.6,16,4.5,1,5,1
157380,48.1,1.2,20.4,15,4.5,1,5,1
157381,47.1,1.2,20.4,14,4.5,1,5,1
157382,44.3,1.2,19.6,12,4.5,1,5,1
157383,39,0.6,10.4,6,4.5,0.5,5,12
157384,7.7,1.2,0,5,0,0.5,0,1
157385,25,2.4,3.6,11,2.5,1,3.5,1
157386,26,2.4,3.6,12,2.5,1,3.5,1
157387,17.7,1.8,6.4,5,1,0.5,2,1
157388,16.4,3,0.4,5,2,1,2,3
157389,22,3,2,11,1,1,2,2
157390,20.4,3,0.4,11,1,1,2,2
157391,21,3,2,10,1,1,2,2
157392,18.9,3,0.4,9,1,1.5,2,2
157393,16,3,0,7,1,1,2,2
157394,18.6,1.8,4.8,4,0,1,0,7
157395,13.8,1.8,0,4,0,1,0,7
157396,13,0,8,2,0,1,0,2
157397,10.4,2.4,0,6,0,1,0,1
157398,19.2,1.2,8,8,0,1,0,1
157399,32.5,1.8,7.2,14,3,1,3.5,2
157400,30.8,2.4,14.4,7,2,1,2,2
157401,28.4,2.4,10,9,3,1,2,1
157402,20.9,2.4,0,10,3.5,1,2,2
157403,40.6,2.4,13.2,15,4,1,2,3
157404,23.9,2.4,0,11,4,1.5,2,3
157405,40.9,1.2,13.2,12,4.5,1,5,4
157406,33.4,1.8,9.6,7,4,1,5,5
157407,44.8,1.2,11.6,14,4.5,1.5,5,7
157408,44,1.2,10.8,15,4.5,0.5,5,7
157409,48.4,1.2,13.2,17,4.5,0.5,5,7
157410,47,1.8,3.2,19,4.5,2.5,5,11
157411,45.9,1.8,7.6,15,4.5,2,5,10
157412,45.1,1.8,6.8,15,4.5,2,5,10
157413,44.9,1.8,5.6,16,4.5,2,5,10
157414,34.6,1.8,6.8,11,4.5,0.5,5,5
157415,38.7,1.8,10.4,15,5,0.5,5,1
157416,50.7,1.8,12.4,16,5,0.5,5,10
157417,51.1,1.8,12.8,16,5,0.5,5,10
157418,52.1,1.8,12.8,17,5,0.5,5,10
157419,53.2,1.8,10.4,18,4.5,4.5,5,9
157420,54.2,1.8,10.4,19,4.5,4.5,5,9
157421,56.6,1.8,12.8,19,4.5,4.5,5,9
157422,60.1,1.8,18.8,20,5,0.5,5,9
157423,60.3,1.8,18,16,4.5,4,5,11
157424,58.6,1.8,20.8,15,4.5,4.5,5,7
157425,54.8,1.8,18,14,4.5,4.5,5,7
157426,48.4,1.8,19.6,14,4.5,2.5,5,1
157427,55.4,1.8,19.6,15,4.5,0.5,5,9
157428,17,2.4,1.6,6,2,0.5,3.5,1
157429,19.9,3,0.4,10,1,1.5,2,2
157430,17,3,0,8,1,1,2,2
157431,20.7,1.2,8,8,1.5,1,0,1
157432,13.3,1.8,0,7,1.5,1,0,2
157433,23.3,1.8,0,12,3,1,3.5,2
157434,27.7,2.4,12.8,5,2,1,3.5,1
157435,30.3,2.4,14.4,6,3,1.5,2,1
157436,29.8,2.4,14.4,6,2,1,2,2
157437,18,2.4,1.6,7,3,1,2,1
157438,31.4,2.4,8,12,4,1,2,2
157439,42.1,2.4,13.2,16,4,1.5,2,3
157440,28.7,2.4,6.8,9,4.5,1,2,3
157441,28.7,2.4,6.8,9,4,1.5,2,3
157442,44.3,2.4,8.4,10,4.5,3,5,11
157443,46.199,1.8,16.4,12,4.5,1.5,5,5
157444,51.8,1.8,18,16,4.5,1.5,5,5
157445,53.2,1.2,18,16,4.5,1.5,5,7
157446,50.6,1.2,18.4,13,4.5,1.5,5,7
157447,46,1.8,3.2,18,4.5,2.5,5,11
157448,52.4,1.8,11.6,17,4.5,2.5,5,10
157449,51.4,1.8,11.6,16,4.5,2.5,5,10
157450,47.9,1.8,7.6,17,4.5,2,5,10
157451,42.2,1.8,10.4,15,4.5,0.5,5,5
157452,49.5,1.8,11.2,16,5,0.5,5,10
157453,58.4,1.8,17.6,18,4.5,0.5,5,11
157454,47.9,2.4,18,14,4.5,3,5,1
157455,49.4,2.4,22,12,4.5,2.5,5,1
157456,51.8,2.4,24.4,12,4.5,2.5,5,1
157457,49.4,1.8,13.6,15,4.5,0.5,5,9
157458,46.5,2.4,17.6,15,4.5,1,5,1
157459,30.2,1.8,12.4,12,2,1,0,1
157460,38.8,1.8,18,15,2,1,0,1
157461,22,2.4,1.6,10,2.5,1,3.5,1
157462,14.6,3,1.6,5,1,1,0,3
157463,11,3,2,0,1,1,2,2
157464,5.5,3,0,1,0,0.5,0,1
157465,5,0,0,2,0,1,0,2
157466,23.7,1.8,2.4,10,3,1,3.5,2
157467,28.5,1.8,7.2,10,3,1,3.5,2
157468,29.5,1.8,7.2,11,3,1,3.5,2
157469,23.3,1.8,0,14,2.5,0.5,3.5,1
157470,28.9,2.4,10,9,3.5,1,2,1
157471,28.9,2.4,8,10,3.5,1,2,2
157472,41.6,2.4,13.2,16,4,1,2,3
157473,41,2.4,15.6,13,4,1,2,3
157474,33.1,2.4,7.2,10,4.5,1,5,3
157475,37,1.8,7.2,10,4,1,5,8
157476,33.6,1.2,6.4,12,4.5,0.5,5,4
157477,37.8,1.2,9.6,13,4.5,0.5,5,4
157478,41.2,1.2,12,14,4.5,0.5,5,4
157479,43.4,1.8,15.6,10,4.5,1.5,5,5
157480,48.2,1.2,18,11,4.5,1.5,5,7
157481,53.4,1.8,11.6,17,4.5,2.5,5,11
157482,36.6,1.2,6.4,14,4.5,1.5,5,4
157483,39,1.8,9.2,13,4.5,0.5,5,5
157484,52.3,1.8,14,16,5,0.5,5,10
157485,50.8,1.8,14,15,4.5,0.5,5,10
157486,55.4,1.8,11.6,19,4.5,4.5,5,9
157487,65.199,1.8,20.4,20,4.5,4.5,5,9
157488,61.699,1.8,20.4,20,5,0.5,5,9
157489,61.699,1.8,20.4,20,5,0.5,5,9
157490,60,1.8,19.2,18,4.5,0.5,5,11
157491,61.199,1.8,20.4,15,4.5,3.5,5,11
157492,60.8,1.8,20,15,4.5,3.5,5,11
